Orpha	Orpha|Syndrome|Prevalence|Inheritance|Age of onset|OMIM
231386	231386|Beta-thalassemia with other manifestations|-|-|-|
231393	231393|Beta-thalassemia-X-linked thrombocytopenia syndrome|Unknown|X-linked recessive|-|314050
2314	2314|Autosomal dominant hyper-IgE syndrome|1-9 / 100 000|Autosomal dominant|Infancy<br>Neonatal|147060
231401	231401|Alpha-thalassemia-myelodysplastic syndrome|<1 / 1 000 000|Not applicable|Adult|300448
231413	231413|Variant of Guillain-Barr̩ syndrome|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
231416	231416|Regional variant of Guillain-Barr̩ syndrome|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
231419	231419|Functional variant of Guillain-Barr̩ syndrome|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
231426	231426|Pharyngeal-cervical-brachial variant of Guillain-Barr̩ syndrome|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
231445	231445|Paraparetic variant of Guillain-Barr̩ syndrome|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
231450	231450|Acute pure sensory neuropathy|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
231457	231457|Acute pandysautonomia|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
231466	231466|Acute sensory ataxic neuropathy|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|
2315	2315|Johanson-Blizzard syndrome|-|Autosomal recessive|Infancy<br>Neonatal|243800
231500	231500|Hermansky-Pudlak syndrome with pulmonary fibrosis|Unknown|Autosomal recessive|Infancy<br>Neonatal|203300 614073
231512	231512|Hermansky-Pudlak syndrome without pulmonary fibrosis|Unknown|Autosomal recessive|Infancy<br>Neonatal|614072 614074 614075
231531	231531|Hermansky-Pudlak syndrome type 7|<1 / 1 000 000|-|-|614076
231537	231537|Hermansky-Pudlak syndrome type 8|<1 / 1 000 000|-|-|614077
231556	231556|Late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome|<1 / 1 000 000|Unknown|Childhood|226440
231568	231568|Generalized dominant dystrophic epidermolysis bullosa|Unknown|Autosomal dominant|Infancy<br>Neonatal|131750
231573	231573|Congenital erosive and vesicular dermatosis|<1 / 1 000 000|Not applicable|Infancy<br>Neonatal|
231580	231580|Primary unilateral adrenal hyperplasia|Unknown|Not applicable|All ages|
2316	2316|Johnson neuroectodermal syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|147770
231625	231625|Adrenocortical carcinoma with pure aldosterone hypersecretion|Unknown|Not applicable|All ages|
231632	231632|Ectopic aldosterone-producing tumor|-|Not applicable|All ages|
231637	231637|Rare surgically correctable form of primary aldosteronism|Unknown|Not applicable|All ages|
231641	231641|Rare non surgically correctable form of primary aldosteronism|-|Autosomal dominant<br>or&nbsp;Not applicable|-|
231662	231662|Isolated growth hormone deficiency type IA|-|Autosomal recessive|Infancy<br>Neonatal|262400
231671	231671|Isolated growth hormone deficiency type IB|-|Autosomal recessive|Infancy<br>Neonatal|612781
231679	231679|Isolated growth hormone deficiency type II|-|Autosomal dominant|Infancy<br>Neonatal|173100
231692	231692|Isolated growth hormone deficiency type III|-|X-linked recessive|Infancy<br>Neonatal|300123 307200
231720	231720|Non-acquired combined pituitary hormone deficiency-sensorineural hearing loss-spine abnormalities syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|221750
231736	231736|Microcornea-posterior megalolenticonus-persistent fetal vasculature-coloboma syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
231742	231742|Epibulbar lipodermoid-preauricular appendage-polythelia syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
2318	2318|Joubert syndrome with oculorenal defect|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|243910 608091 610188 612285 614424 614465 614844
2319	2319|Juberg-Hayward syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|216100
231957	231957|-|-|-|-|
232	232|Sickle cell anemia|1-5 / 10 000|Autosomal recessive|All ages|603903
232035	232035|Infectious embryofetopathy|-|-|-|
2321	2321|Jung-Wolff-Back-Stahl syndrome|<1 / 1 000 000|-|Neonatal<br>Infancy|601427
2322	2322|Kabuki syndrome|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|147920 300867
232288	232288|Alpha-thalassemia-related diseases|-|-|-|
2323	2323|Sanjad-Sakati syndrome|Unknown|Autosomal recessive|Infancy<br>Neonatal|241410
2324	2324|Osteopenia-intellectual disability-sparse hair syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|259690
2325	2325|Epidermolysis bullosa simplex with anodontia/hypodontia|-|-|-|
2326	2326|Kallmann syndrome-heart disease syndrome|<1 / 1 000 000|Autosomal recessive|-|
2328	2328|Kapur-Toriello syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|244300
2329	2329|Karsch-Neugebauer syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|183800
233	233|Duane retraction syndrome|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Not applicable|Infancy<br>Neonatal|126800 604356 616219 617041
2330	2330|Kasabach-Merritt syndrome|Unknown|Not applicable|Infancy<br>Neonatal|141000
2331	2331|Kawasaki disease|Unknown|Multigenic/multifactorial|Infancy<br>Childhood<br>Adolescent<br>Adult|611775
2332	2332|KBG syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Not applicable|Childhood|148050
2333	2333|Kenny-Caffey syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood|127000 244460
2334	2334|Autosomal dominant keratitis|Unknown|Autosomal dominant|Childhood|148190
233655	233655|Rare genetic vascular disease|-|-|-|
2337	2337|Non-epidermolytic palmoplantar keratoderma|1-9 / 100 000|Autosomal dominant|-|600231
2338	2338|Isolated punctate palmoplantar keratoderma|-|Autosomal dominant|-|
2339	2339|Keratosis follicularis-dwarfism-cerebral atrophy syndrome|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|308830
234	234|Dubin-Johnson syndrome|Unknown|Autosomal recessive|Adolescent<br>Adult|237500
2340	2340|Keratosis follicularis spinulosa decalvans|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;X-linked recessive<br>or&nbsp;Autosomal recessive|Childhood|308800 612843
2342	2342|Haim-Munk syndrome|<1 / 1 000 000|Autosomal recessive|-|245010
2343	2343|Isolated cloverleaf skull syndrome|Unknown|Not applicable|Neonatal|148800 600775
2345	2345|Isolated Klippel-Feil syndrome|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Not applicable|Infancy<br>Neonatal|118100 214300 613702
2346	2346|Angioosteohypertrophic syndrome|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Childhood<br>Adolescent|149000 608355
2347	2347|Lethal Kniest-like dysplasia|<1 / 1 000 000|Autosomal recessive|Neonatal|245190
2348	2348|Familial partial lipodystrophy, Dunnigan type|Unknown|Autosomal dominant|Adolescent<br>Adult|151660
2349	2349|Muscular pseudohypertrophy-hypothyroidism syndrome|Unknown|-|Childhood|
235	235|Dubowitz syndrome|Unknown|Autosomal recessive|Neonatal<br>Antenatal|223370
2351	2351|Kousseff syndrome|<1 / 1 000 000|-|Antenatal<br>Infancy<br>Neonatal|
2352	2352|Kozlowski-Brown-Hardwick syndrome|<1 / 1 000 000|-|Infancy<br>Neonatal|
2353	2353|Schilbach-Rott syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|164220
2356	2356|Arachnoid cyst|Unknown|Autosomal recessive<br>or&nbsp;Not applicable|Childhood|182990 207790
2357	2357|Bronchogenic cyst|Unknown|Unknown|All ages|
235832	235832|Congenital vascular bone syndrome|-|-|-|
235936	235936|Familial hyperaldosteronism|Unknown|Autosomal dominant|All ages|
236	236|Trisomy 9p|<1 / 1 000 000|-|-|
2363	2363|Lacrimoauriculodentodigital syndrome|<1 / 1 000 000|Autosomal dominant|Antenatal<br>Neonatal<br>Infancy<br>Childhood|149730
2364	2364|Glycogen storage disease due to lactate dehydrogenase deficiency|-|-|-|612933 614128
2368	2368|Gastroschisis|1-5 / 10 000|Not applicable|Neonatal<br>Antenatal|230750
2369	2369|Limb body wall complex|Unknown|Not applicable|Infancy<br>Neonatal|
237	237|Duplication of urethra|Unknown|-|-|
2370	2370|Larsen-like osseous dysplasia-short stature syndrome|-|-|-|608545
2371	2371|Lethal Larsen-like syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|245650
2372	2372|Laryngocele|-|-|-|
2373	2373|Congenital laryngomalacia|-|-|-|150280
2374	2374|Congenital laryngeal web|-|-|-|150360
2375	2375|Laryngeal abductor paralysis-intellectual disability syndrome|<1 / 1 000 000|X-linked recessive|Childhood|308850
2377	2377|Laurence-Moon syndrome|Unknown|Autosomal recessive|Neonatal|245800
2378	2378|Laurin-Sandrow syndrome|-|Autosomal dominant|-|135750
2379	2379|Early-onset parkinsonism-intellectual disability syndrome|<1 / 1 000 000|X-linked recessive|Infancy|311510
238	238|Digestive duplication|-|-|-|
2380	2380|Legg-Calv̩-Perthes disease|Unknown|Autosomal dominant<br>or&nbsp;Multigenic/multifactorial|Childhood|150600
2382	2382|Lennox-Gastaut syndrome|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Multigenic/multifactorial<br>or&nbsp;Not applicable|Childhood|615369 616346 617113
238269	238269|AApoAII amyloidosis|-|Autosomal dominant|-|
238305	238305|Infundibulo-neurohypophysitis|-|-|-|
238329	238329|Severe X-linked mitochondrial encephalomyopathy|<1 / 1 000 000|X-linked recessive|Infancy|300816
238446	238446|15q11q13 microduplication syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|608636
238455	238455|Infantile dystonia-parkinsonism|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613135
238459	238459|SLC35A1-CDG|<1 / 1 000 000|No data available|Infancy<br>Neonatal|603585
238468	238468|Hypohidrotic ectodermal dysplasia|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|129490 224900 300291 305100 612132 614940 614941
238475	238475|Familial hypercholanemia|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|607748
238505	238505|Autosomal recessive lymphoproliferative disease|<1 / 1 000 000|Autosomal recessive|Childhood|613011 615122
238510	238510|Lymphoproliferative syndrome|-|-|-|
238517	238517|Hypotonia-cystinuria type 1 syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
238523	238523|Atypical hypotonia-cystinuria syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|606407
238536	238536|Congenital secondary polycythemia|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|
238547	238547|Acquired secondary polycythemia|Unknown|Not applicable|All ages|
238557	238557|Chuvash erythrocytosis|Unknown|Autosomal recessive|Infancy<br>Neonatal|263400
238569	238569|Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|612567 613148 615767
238578	238578|Familial clubfoot due to 17q23.1q23.2 microduplication|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|613618
238583	238583|Hyperphenylalaninemia due to tetrahydrobiopterin deficiency|1-9 / 1 000 000|Autosomal recessive|Neonatal<br>Infancy|233910 261630 261640 264070
238593	238593|IgG4-related mesenteritis|Unknown|Not applicable|Adult|
2386	2386|Leukoencephalopathy-palmoplantar keratoderma syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|
238606	238606|Primary orthostatic tremor|Unknown|Not applicable|Adult|
238613	238613|Beckwith-Wiedemann syndrome due to NSD1 mutation|-|-|-|
238621	238621|Ileal pouch anal anastomosis related faecal incontinence|1-9 / 100 000|-|-|
238624	238624|Idiopathic intracranial hypertension|-|-|-|243200
238637	238637|Megacystis-megaureter syndrome|-|-|Infancy<br>Neonatal|
238642	238642|Primary megaureter, adult-onset form|Unknown|Unknown|Adult|
238646	238646|Congenital primary megaureter, obstructed form|Unknown|Unknown|Infancy<br>Neonatal|
238650	238650|Congenital primary megaureter, refluxing form|Unknown|Unknown|Infancy<br>Neonatal|
238654	238654|Congenital primary megaureter, nonrefluxing and unobstructed form|Unknown|Unknown|Infancy<br>Neonatal|
238666	238666|Isolated congenital hypogonadotropic hypogonadism|-|-|-|
238670	238670|Isolated thyrotropin-releasing hormone deficiency|Unknown|Unknown|All ages|275120
238688	238688|Neonatal iodine exposure|-|Not applicable|Infancy<br>Neonatal|
238691	238691|Congenital hepatic hemangioma|-|Not applicable|Infancy<br>Neonatal|
238696	238696|Transient congenital hypothyroidism due to maternal factor|-|-|-|
238699	238699|Transient congenital hypothyroidism due to neonatal factor|-|-|-|
2387	2387|Leukonychia totalis|-|-|-|151600
238722	238722|Familial congenital mirror movements|<1 / 1 000 000|Autosomal dominant|Infancy<br>Childhood|157600 614508 616059
238744	238744|Mammary-digital-nail syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|613689
238750	238750|4q21 microdeletion syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|613509
238755	238755|Autosomal dominant limb-girdle muscular dystrophy type 1H|<1 / 1 000 000|Autosomal dominant|Adult<br>Adolescent|613530
238763	238763|Glaucoma secondary to spherophakia/ectopia lentis and megalocornea|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Infancy|251750
238766	238766|Ptosis-syndactyly-learning difficulties syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
238769	238769|1q44 microdeletion syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|
2388	2388|Choreoacanthocytosis|Unknown|Autosomal recessive|Adult|200150
239	239|Dyggve-Melchior-Clausen disease|<1 / 1 000 000|Autosomal recessive|Infancy|223800 304950
2390	2390|Lichtenstein syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|246550
2391	2391|Congenitally short costocoracoid ligament|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|122580
2394	2394|Pyruvate dehydrogenase E3 deficiency|<1 / 1 000 000|Autosomal recessive|Childhood|246900
2396	2396|Encephalocraniocutaneous lipomatosis|<1 / 1 000 000|Not applicable|Childhood|613001
2398	2398|Multiple symmetric lipomatosis|Unknown|Not applicable<br>or&nbsp;Autosomal dominant<br>or&nbsp;Mitochondrial inheritance<br>or&nbsp;Autosomal recessive|Adult|151800
2399	2399|Nasopalpebral lipoma-coloboma syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|167730
24	24|Fumaric aciduria|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|606812
240	240|L̩ri-Weill dyschondrosteosis|Unknown|Autosomal dominant|Neonatal|127300
2400	2400|Peripheral motor neuropathy-dysautonomia syndrome|-|Unknown|-|252320
240071	240071|Classic progressive supranuclear palsy syndrome|1-9 / 100 000|Not applicable|Adult|601104 609454 610898
240085	240085|Progressive supranuclear palsy-parkinsonism syndrome|Unknown|Not applicable|Adult|260540
240094	240094|Progressive supranuclear palsy-pure akinesia with gait freezing syndrome|1-9 / 100 000|Not applicable|Adult|
240103	240103|Progressive supranuclear palsy-corticobasal syndrome|1-9 / 1 000 000|Not applicable|Adult|
240112	240112|Progressive supranuclear palsy-progressive non-fluent aphasia syndrome|<1 / 1 000 000|Not applicable|Adult|
240371	240371|Syndromic obesity|-|-|-|
2404	2404|Loiasis|<1 / 1 000 000|Not applicable|All ages|
2405	2405|Thickened earlobes-conductive deafness syndrome|<1 / 1 000 000|Autosomal dominant|All ages|128980
2406	2406|Locked-in syndrome|<1 / 1 000 000|Not applicable|All ages|
2407	2407|LOC syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|245660
240760	240760|Nijmegen breakage syndrome-like disorder|-|-|-|613078
2408	2408|Lowe-Kohn-Cohen syndrome|<1 / 1 000 000|-|Antenatal<br>Neonatal|
240841	240841|Abacavir toxicity|-|-|-|
240845	240845|Allopurinol toxicity|-|-|-|
240863	240863|Cisplatin toxicity|-|-|-|613290
240867	240867|Codeine toxicity|-|-|-|
240869	240869|Efavirenz toxicity|-|-|-|614546
240871	240871|Flucloxacilline toxicity|-|-|-|
240885	240885|Irinotecan toxicity|-|-|-|
240887	240887|Isoniazid toxicity|-|-|-|
2409	2409|Lowry-MacLean syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|600252
240905	240905|Raltegravir toxicity|-|-|-|
240921	240921|Voriconazole toxicity|-|-|-|
240935	240935|Resistance to clopidogrel|-|-|-|609535
240947	240947|Resistance to tamoxifene|-|-|-|
241	241|Dyschromatosis universalis hereditaria|-|Autosomal dominant<br>or&nbsp;Autosomal recessive|-|127500 612715 615402
2410	2410|Hypergonadotropic hypogonadism-cataract syndrome|<1 / 1 000 000|Autosomal recessive|Adolescent|240950
241043	241043|Tacrolimus dose selection|-|-|-|
2412	2412|Dislocation of the hip-dysmorphism syndrome|<1 / 1 000 000|-|Infancy<br>Neonatal|601450
2414	2414|Congenital pulmonary lymphangiectasia|Unknown|Autosomal recessive|Neonatal|265300
2415	2415|Rare lymphatic malformation|1-5 / 10 000|Not applicable|Infancy<br>Neonatal|
242	242|46,XY complete gonadal dysgenesis|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Y-linked<br>or&nbsp;X-linked recessive|Adolescent<br>Adult|154230 233420 300018 400044 612965 613080 613762 616425
2420	2420|Primary pulmonary lymphoma|Unknown|Not applicable|Adult<br>Elderly|
2427	2427|Macrocephaly-short stature-paraplegia syndrome|<1 / 1 000 000|Unknown|Adult|
2429	2429|Macrocephaly-spastic paraplegia-dysmorphism syndrome|Unknown|Autosomal recessive|Childhood|600302
243	243|46,XX gonadal dysgenesis|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive<br>or&nbsp;Not applicable|Adolescent<br>Adult|233300 300510 614324
2430	2430|Congenital macroglossia|-|-|-|153630
2431	2431|Central bilateral macrogyria|<1 / 1 000 000|Unknown|Childhood|
2432	2432|Macrosomia-microphthalmia-cleft palate syndrome|<1 / 1 000 000|-|Neonatal|248110
243343	243343|Dimethylglycine dehydrogenase deficiency|<1 / 1 000 000|Autosomal recessive|Childhood|605850
243367	243367|Acute fatty liver of pregnancy|-|Multigenic/multifactorial|Adult|
2435	2435|Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome|<1 / 1 000 000|Unknown|Neonatal<br>Infancy|
